event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
event_01,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-10-02,2023-10-02,settled,,fixed,
event_02,user_01,expense,Household utility payment,utilities,debit,1475.46,ZAR,2023-10-06,2023-10-06,settled,,fixed,
event_03,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-10-08,2023-10-08,settled,,fixed,
event_04,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_05,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_06,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-10-13,2023-10-13,settled,,stoppable,
event_07,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-11-02,2023-11-02,settled,,fixed,
event_08,user_01,expense,Household utility payment,utilities,debit,1483.81,ZAR,2023-11-06,2023-11-06,settled,,fixed,
event_09,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-11-08,2023-11-08,settled,,fixed,
event_10,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_11,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_12,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-11-13,2023-11-13,settled,,stoppable,
event_13,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-12-02,2023-12-02,settled,,fixed,
event_14,user_01,expense,Household utility payment,utilities,debit,1541.75,ZAR,2023-12-06,2023-12-06,settled,,fixed,
event_15,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-12-08,2023-12-08,settled,,fixed,
event_16,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_17,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_18,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-12-13,2023-12-13,settled,,stoppable,
event_19,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-01-02,2024-01-02,settled,,fixed,
event_20,user_01,expense,Household utility payment,utilities,debit,1651.81,ZAR,2024-01-06,2024-01-06,settled,,fixed,
event_21,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-01-08,2024-01-08,settled,,fixed,
event_22,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_23,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_24,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-01-13,2024-01-13,settled,,stoppable,
event_25,user_01,income,Prorated first salary,salary,credit,12826.0,ZAR,2024-02-15,2024-02-15,settled,,fixed,
event_26,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-02-02,2024-02-02,settled,,fixed,
event_27,user_01,expense,Household utility payment,utilities,debit,1386.17,ZAR,2024-02-06,2024-02-06,settled,,fixed,
event_28,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-02-08,2024-02-08,settled,,fixed,
event_29,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_30,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_31,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-02-13,2024-02-13,settled,,stoppable,
event_32,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-03-02,2024-03-02,settled,,fixed,
event_33,user_01,expense,Neighbourhood grocer,groceries,debit,925.62,ZAR,2023-09-08,2023-09-08,settled,,fixed,
event_34,user_01,expense,Neighbourhood grocer,groceries,debit,939.13,ZAR,2023-09-15,2023-09-15,settled,,fixed,
event_35,user_01,expense,Bulk pantry shop,groceries,debit,707.36,ZAR,2023-09-22,2023-09-22,settled,,fixed,
event_36,user_01,expense,Grocery delivery,groceries,debit,629.96,ZAR,2023-09-29,2023-09-29,settled,,fixed,
event_37,user_01,expense,Local market purchase,groceries,debit,873.17,ZAR,2023-10-06,2023-10-06,settled,,fixed,
event_38,user_01,expense,Bulk pantry shop,groceries,debit,915.12,ZAR,2023-10-13,2023-10-13,settled,,fixed,
event_39,user_01,expense,Fresh food shop,groceries,debit,644.3,ZAR,2023-10-20,2023-10-20,settled,,fixed,
event_40,user_01,expense,Fresh food shop,groceries,debit,663.27,ZAR,2023-10-27,2023-10-27,settled,,fixed,
event_41,user_01,expense,Grocery delivery,groceries,debit,1030.1,ZAR,2023-11-03,2023-11-03,settled,,fixed,
event_42,user_01,expense,Neighbourhood grocer,groceries,debit,672.37,ZAR,2023-11-10,2023-11-10,settled,,fixed,
event_43,user_01,expense,Local market purchase,groceries,debit,803.55,ZAR,2023-11-17,2023-11-17,settled,,fixed,
event_44,user_01,expense,Local market purchase,groceries,debit,644.43,ZAR,2023-11-24,2023-11-24,settled,,fixed,
event_45,user_01,expense,Household groceries,groceries,debit,882.48,ZAR,2023-12-01,2023-12-01,settled,,fixed,
event_46,user_01,expense,Bulk pantry shop,groceries,debit,602.87,ZAR,2023-12-08,2023-12-08,settled,,fixed,
event_47,user_01,expense,Local market purchase,groceries,debit,765.64,ZAR,2023-12-15,2023-12-15,settled,,fixed,
event_48,user_01,expense,Fresh food shop,groceries,debit,651.12,ZAR,2023-12-22,2023-12-22,settled,,fixed,
event_49,user_01,expense,Fresh food shop,groceries,debit,899.04,ZAR,2023-12-29,2023-12-29,settled,,fixed,
event_50,user_01,expense,Neighbourhood grocer,groceries,debit,961.46,ZAR,2024-01-05,2024-01-05,settled,,fixed,
event_51,user_01,expense,Supermarket basket,groceries,debit,875.35,ZAR,2024-01-12,2024-01-12,settled,,fixed,
event_52,user_01,expense,Household groceries,groceries,debit,756.39,ZAR,2024-01-19,2024-01-19,settled,,fixed,
event_53,user_01,expense,Supermarket basket,groceries,debit,624.94,ZAR,2024-01-26,2024-01-26,settled,,fixed,
event_54,user_01,expense,Household groceries,groceries,debit,719.51,ZAR,2024-02-02,2024-02-02,settled,,fixed,
event_55,user_01,expense,Neighbourhood grocer,groceries,debit,755.11,ZAR,2024-02-09,2024-02-09,settled,,fixed,
event_56,user_01,expense,Supermarket basket,groceries,debit,881.22,ZAR,2024-02-16,2024-02-16,settled,,fixed,
event_57,user_01,expense,Grocery delivery,groceries,debit,626.01,ZAR,2024-02-23,2024-02-23,settled,,fixed,
event_58,user_01,expense,Local market purchase,groceries,debit,964.05,ZAR,2024-03-01,2024-03-01,settled,,fixed,
event_59,user_01,expense,Commuter pass,transport,debit,399.02,ZAR,2023-09-09,2023-09-09,settled,,fixed,
event_60,user_01,expense,Ride-hailing trip,transport,debit,549.8,ZAR,2023-09-16,2023-09-16,settled,,fixed,
event_61,user_01,expense,Metro and bus fares,transport,debit,468.47,ZAR,2023-09-23,2023-09-23,settled,,fixed,
event_62,user_01,expense,Ride-hailing trip,transport,debit,428.92,ZAR,2023-09-30,2023-09-30,settled,,fixed,
event_63,user_01,expense,Metro and bus fares,transport,debit,373.05,ZAR,2023-10-07,2023-10-07,settled,,fixed,
event_64,user_01,expense,Fuel refill,transport,debit,503.02,ZAR,2023-10-14,2023-10-14,settled,,fixed,
event_65,user_01,expense,Local taxi,transport,debit,351.49,ZAR,2023-10-21,2023-10-21,settled,,fixed,
event_66,user_01,expense,Metro and bus fares,transport,debit,553.74,ZAR,2023-10-28,2023-10-28,settled,,fixed,
event_67,user_01,expense,Rail pass,transport,debit,421.89,ZAR,2023-11-04,2023-11-04,settled,,fixed,
event_68,user_01,expense,Metro and bus fares,transport,debit,347.86,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_69,user_01,expense,Commuter pass,transport,debit,518.04,ZAR,2023-11-18,2023-11-18,settled,,fixed,
event_70,user_01,expense,Ride-hailing trip,transport,debit,444.56,ZAR,2023-11-25,2023-11-25,settled,,fixed,
event_71,user_01,expense,Parking and tolls,transport,debit,323.58,ZAR,2023-12-02,2023-12-02,settled,,fixed,
event_72,user_01,expense,Vehicle charging,transport,debit,478.16,ZAR,2023-12-09,2023-12-09,settled,,fixed,
event_73,user_01,expense,Vehicle charging,transport,debit,534.56,ZAR,2023-12-16,2023-12-16,settled,,fixed,
event_74,user_01,expense,Local taxi,transport,debit,411.07,ZAR,2023-12-23,2023-12-23,settled,,fixed,
event_75,user_01,expense,Commuter pass,transport,debit,374.6,ZAR,2023-12-30,2023-12-30,settled,,fixed,
event_76,user_01,expense,Ride-hailing trip,transport,debit,358.85,ZAR,2024-01-06,2024-01-06,settled,,fixed,
event_77,user_01,expense,Fuel refill,transport,debit,434.69,ZAR,2024-01-13,2024-01-13,settled,,fixed,
event_78,user_01,expense,Rail pass,transport,debit,375.73,ZAR,2024-01-20,2024-01-20,settled,,fixed,
event_79,user_01,expense,Commuter pass,transport,debit,560.21,ZAR,2024-01-27,2024-01-27,settled,,fixed,
event_80,user_01,expense,Metro and bus fares,transport,debit,406.54,ZAR,2024-02-03,2024-02-03,settled,,fixed,
event_81,user_01,expense,Parking and tolls,transport,debit,488.36,ZAR,2024-02-10,2024-02-10,settled,,fixed,
event_82,user_01,expense,Ride-hailing trip,transport,debit,424.56,ZAR,2024-02-17,2024-02-17,settled,,fixed,
event_83,user_01,expense,Commuter pass,transport,debit,549.05,ZAR,2024-02-24,2024-02-24,settled,,fixed,
event_84,user_01,expense,Local taxi,transport,debit,339.29,ZAR,2024-03-02,2024-03-02,settled,,fixed,
event_85,user_01,expense,Bakery and snacks,dining,debit,1213.78,ZAR,2023-09-10,2023-09-10,settled,,reducible,489.5
event_86,user_01,expense,Bakery and snacks,dining,debit,1243.56,ZAR,2023-09-24,2023-09-24,settled,,reducible,489.5
event_87,user_01,expense,Lunch with colleagues,dining,debit,1128.35,ZAR,2023-10-08,2023-10-08,settled,,reducible,489.5
event_88,user_01,expense,Takeaway order,dining,debit,1027.06,ZAR,2023-10-22,2023-10-22,settled,,reducible,489.5
event_89,user_01,expense,Quick-service meal,dining,debit,1070.17,ZAR,2023-11-05,2023-11-05,settled,,reducible,489.5
event_90,user_01,expense,Weekend food delivery,dining,debit,956.7,ZAR,2023-11-19,2023-11-19,settled,,reducible,489.5
event_91,user_01,expense,Quick-service meal,dining,debit,1160.42,ZAR,2023-12-03,2023-12-03,settled,,reducible,489.5
event_92,user_01,expense,Coffee shop,dining,debit,972.88,ZAR,2023-12-17,2023-12-17,settled,,reducible,489.5
event_93,user_01,expense,Neighbourhood restaurant,dining,debit,914.64,ZAR,2023-12-31,2023-12-31,settled,,reducible,489.5
event_94,user_01,expense,Coffee shop,dining,debit,1017.11,ZAR,2024-01-14,2024-01-14,settled,,reducible,489.5
event_95,user_01,expense,Bakery and snacks,dining,debit,1222.49,ZAR,2024-01-28,2024-01-28,settled,,reducible,489.5
event_96,user_01,expense,Bakery and snacks,dining,debit,1016.12,ZAR,2024-02-11,2024-02-11,settled,,reducible,489.5
event_97,user_01,expense,Family dinner,dining,debit,1216.17,ZAR,2024-02-25,2024-02-25,settled,,reducible,489.5
event_98,user_01,expense,Card charge later reversed,shopping,debit,583.0,ZAR,2024-01-25,2024-01-26,settled,,fixed,
event_99,user_01,refund,Settled card charge reversal,shopping,credit,583.0,ZAR,2024-01-28,2024-01-29,settled,event_98,fixed,
event_100,user_01,expense,Card authorization,shopping,debit,816.2,ZAR,2024-02-14,2024-02-16,cancelled,,fixed,
event_101,user_01,expense,Settled card purchase,shopping,debit,816.2,ZAR,2024-02-16,2024-02-17,settled,event_100,fixed,
event_102,user_01,expense,Pending fuel authorization,transport,debit,567.6,ZAR,2024-03-02,2024-03-05,pending,,fixed,
event_103,user_01,income,Next confirmed salary,salary,credit,23320.0,ZAR,2024-03-15,2024-03-15,scheduled,,fixed,
event_104,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-03-15,2025-03-15,settled,,fixed,
event_105,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-03-04,2025-03-04,settled,,fixed,
event_106,user_02,expense,Municipal utilities,utilities,debit,2143659.02,IDR,2025-03-07,2025-03-07,settled,,fixed,
event_107,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-03-08,2025-03-08,settled,,fixed,
event_108,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-03-09,2025-03-09,settled,,fixed,
event_109,user_02,expense,Clinic payment,healthcare,debit,1594883.08,IDR,2025-03-11,2025-03-11,settled,,fixed,
event_110,user_02,expense,Cinema and events,entertainment,debit,1289187.4,IDR,2025-03-15,2025-03-15,settled,,reducible,670700.0
event_111,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-03-13,2025-03-13,settled,,stoppable,
event_112,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-04-15,2025-04-15,settled,,fixed,
event_113,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-04-04,2025-04-04,settled,,fixed,
event_114,user_02,expense,Municipal utilities,utilities,debit,2081730.85,IDR,2025-04-07,2025-04-07,settled,,fixed,
event_115,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-04-08,2025-04-08,settled,,fixed,
event_116,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-04-09,2025-04-09,settled,,fixed,
event_117,user_02,expense,Clinic payment,healthcare,debit,1467514.81,IDR,2025-04-11,2025-04-11,settled,,fixed,
event_118,user_02,expense,Cinema and events,entertainment,debit,1367779.89,IDR,2025-04-15,2025-04-15,settled,,reducible,670700.0
event_119,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-04-13,2025-04-13,settled,,stoppable,
event_120,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-05-15,2025-05-15,settled,,fixed,
event_121,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-05-04,2025-05-04,settled,,fixed,
event_122,user_02,expense,Municipal utilities,utilities,debit,1830311.06,IDR,2025-05-07,2025-05-07,settled,,fixed,
event_123,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-05-08,2025-05-08,settled,,fixed,
event_124,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-05-09,2025-05-09,settled,,fixed,
event_125,user_02,expense,Clinic payment,healthcare,debit,1452405.16,IDR,2025-05-11,2025-05-11,settled,,fixed,
event_126,user_02,expense,Cinema and events,entertainment,debit,1287628.28,IDR,2025-05-15,2025-05-15,settled,,reducible,670700.0
event_127,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-05-13,2025-05-13,settled,,stoppable,
event_128,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-06-15,2025-06-15,settled,,fixed,
event_129,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-06-04,2025-06-04,settled,,fixed,
event_130,user_02,expense,Municipal utilities,utilities,debit,1981601.61,IDR,2025-06-07,2025-06-07,settled,,fixed,
event_131,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-06-08,2025-06-08,settled,,fixed,
event_132,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-06-09,2025-06-09,settled,,fixed,
event_133,user_02,expense,Clinic payment,healthcare,debit,1641668.72,IDR,2025-06-11,2025-06-11,settled,,fixed,
event_134,user_02,expense,Cinema and events,entertainment,debit,1193699.1,IDR,2025-06-15,2025-06-15,settled,,reducible,670700.0
event_135,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-06-13,2025-06-13,settled,,stoppable,
event_136,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-07-15,2025-07-15,settled,,fixed,
event_137,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-07-04,2025-07-04,settled,,fixed,
event_138,user_02,expense,Municipal utilities,utilities,debit,2141849.94,IDR,2025-07-07,2025-07-07,settled,,fixed,
event_139,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-07-08,2025-07-08,settled,,fixed,
event_140,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-07-09,2025-07-09,settled,,fixed,
