payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_01,request_01,full_payment,25256.0,1,2024-03-03,,0.0,25256.0
payment_option_02,request_01,installments,1852.11,15,2024-03-06,30.0,2525.65,27781.65
payment_option_03,request_01,installments,4546.08,6,2024-03-10,31.0,2020.48,27276.48
payment_option_04,request_01,installments,1283.85,24,2024-03-17,28.0,5556.4,30812.4
payment_option_05,request_02,installments,15952906.67,3,2025-08-08,30.0,1840720.01,47858720.01
payment_option_06,request_02,full_payment,46018000.0,1,2025-08-05,,0.0,46018000.0
payment_option_07,request_02,installments,2914473.33,18,2025-08-12,31.0,6442519.94,52460519.94
payment_option_08,request_03,full_payment,5491000.0,1,2019-09-03,,0.0,5491000.0
payment_option_09,request_03,installments,308541.9,21,2019-09-17,28.0,988379.9,6479379.9
payment_option_10,request_03,installments,279125.83,24,2019-09-06,31.0,1208019.92,6699019.92
payment_option_11,request_04,full_payment,12693000.0,1,2024-06-04,,0.0,12693000.0
payment_option_12,request_04,installments,875817.0,15,2024-06-04,30.0,444255.0,13137255.0
payment_option_13,request_05,full_payment,15488.0,1,2025-11-06,,0.0,15488.0
payment_option_14,request_05,installments,980.91,18,2025-11-09,31.0,2168.38,17656.38
payment_option_15,request_05,installments,787.31,24,2025-11-20,30.0,3407.44,18895.44
payment_option_72,request_26,full_payment,15656000.0,1,2025-08-03,,0.0,15656000.0
payment_option_73,request_26,installments,1148106.67,15,2025-08-06,30.0,1565600.05,17221600.05
payment_option_74,request_26,installments,2818080.0,6,2025-08-10,31.0,1252480.0,16908480.0
payment_option_75,request_26,installments,795846.67,24,2025-08-17,28.0,3444320.08,19100320.08
payment_option_76,request_27,full_payment,6670.0,1,2026-07-05,,0.0,6670.0
payment_option_77,request_27,installments,383.53,18,2026-07-12,31.0,233.54,6903.54
payment_option_78,request_28,full_payment,1302.4,1,2024-06-07,,0.0,1302.4
payment_option_79,request_28,installments,73.18,21,2024-06-21,28.0,234.38,1536.78
payment_option_80,request_28,installments,66.21,24,2024-06-10,31.0,286.64,1589.04
payment_option_81,request_29,full_payment,51524.0,1,2025-11-04,,0.0,51524.0
payment_option_82,request_29,installments,3778.43,15,2025-11-04,30.0,5152.45,56676.45
payment_option_83,request_30,installments,268.74,3,2026-04-06,30.0,31.02,806.22
payment_option_84,request_30,full_payment,775.2,1,2026-04-06,,0.0,775.2
payment_option_85,request_30,installments,49.1,18,2026-04-09,31.0,108.6,883.8
